1559, 33
1809, 34
2059, 34
2308, 33
2558, 33
2808, 35
3062, 36
3312, 35
3562, 34
3812, 39
4062, 39
4311, 37
4561, 37
4811, 35
5061, 35
5311, 35
5560, 33
5814, 33
6064, 32
6314, 33
6564, 32
6814, 34
7064, 33
7313, 33
7563, 35
7813, 35
8063, 35
8313, 36
8562, 35
8816, 35
9066, 33
9316, 34
9566, 34
9816, 34
10066, 33
10316, 34
10565, 34
10815, 34
11065, 35
11315, 34
11569, 35
11819, 34
12069, 34
12318, 33
12568, 33
12818, 34
13068, 34
13318, 34
13568, 34
13817, 33
14067, 34
14321, 34
14571, 33
14821, 35
15071, 35
15321, 36
15570, 34
15820, 35
16070, 34
16320, 35
16570, 33
16820, 34
17074, 33
17323, 35
17573, 34
17823, 33
18073, 32
18323, 31
18573, 33
18823, 34
19072, 34
19322, 35
19572, 34
19822, 33
20076, 32
20326, 34
20575, 32
20825, 31
21075, 32
21325, 31
21575, 30
21825, 32
22075, 31
22324, 32
22574, 30
22828, 30
23078, 32
23328, 34
23578, 35
23827, 34
24077, 32
24327, 32
24577, 33
24827, 32
25077, 32
25327, 31
25581, 32
25830, 31
26080, 33
26330, 32
26580, 34
26830, 33
27080, 33
27329, 34
27579, 34
27829, 33
28079, 35
28329, 34
28583, 34
28832, 34
29082, 34
29332, 35
29582, 36
29832, 35
30082, 35
30332, 34
30581, 34
30831, 34
31081, 35
31335, 35
31585, 33
31835, 33
32085, 33
32334, 33
32584, 32
32834, 34
33084, 35
33334, 34
33584, 35
33833, 35
34087, 34
34337, 35
34587, 35
34837, 34
35087, 34
35337, 34
35586, 33
35836, 32
36086, 32
36336, 32
36586, 30
36840, 30
37090, 30
37339, 30
37589, 30
37839, 31
38089, 31
38339, 31
38589, 31
38839, 31
39088, 33
39338, 33
39588, 33
39842, 33
40092, 33
40342, 33
40592, 34
40841, 34
41091, 35
41341, 36
41591, 36
41841, 35
42091, 33
42340, 34
42594, 31
42844, 30
43094, 31
43344, 31
43594, 32
43844, 31
44093, 32
44343, 32
44593, 32
44843, 32
45093, 32
45346, 33
45597, 32
45846, 33
46096, 34
46346, 34
46596, 34
46846, 33
47096, 33
47345, 33
47595, 33
47845, 33
48095, 33
48349, 33
48599, 32
48849, 33
49098, 33
49348, 34
49598, 34
49848, 33
50098, 34
50348, 32
50597, 33
50847, 33
51101, 33
51351, 33
51601, 34
51851, 35
52101, 35
52350, 36
52600, 36
52850, 35
53100, 33
53350, 33
53600, 34
53854, 34
54103, 31
54353, 30
54603, 32
54853, 32
55103, 35
55352, 38
55602, 38
55852, 37
56102, 36
56352, 36
56606, 35
56856, 35
57106, 34
57355, 35
57605, 35
57855, 34
58105, 34
58355, 35
58605, 35
58854, 34
59104, 33
59354, 33
59608, 34
59858, 34
